id,name,resource_type,identifier,publication_date,source,status,accessibility,country_of_study,keywords,created_time,author_team_size,source_display_name,source_id
rec5tfVXmwloI1Rb1,da28fc79f4a6ce31854ea8c213025e7d,"""journal article""",a7294616ebe031ef9dfd6d42286a19ae,2014-01-01,OpenAlex,published,open access,"""Australia""","""""",2023-06-20T22:35:47Z,3,90f04e51665b16315a09553972f1e268,1f3473303abe4d4222e6267248a64094
rec61ubUY4HuZrsmS,ff1adc150fa7584f1102fbde58f47e06,"""journal article""",d499f151b7552128424f8402eea601f1,2020-01-01,OpenAlex,published,NA,"""Non-specific""","""""",2023-06-20T22:36:28Z,5,abc19d90bd9534e2b5044fad49eadd36,afbf18c450a1f553dc4796b25c7b45f4
rec63LIuaBK95wMxv,d4d03ad75751ccd4b5e0c7f25414a565,"""journal article""",f0d0f33743be56573d3cb36ab8f6f4ef,2022-01-01,OpenAlex,published,NA,"""Brazil""","""""",2023-06-20T22:36:20Z,6,533df2601a8a998ea01ecb1202e293c8,b33fd76c7bde9329ef0029cdddf72c81
rec6Rrb3Ct9ONzOQn,90a3a664c59a79616f031171b38252fd,"""journal article""",4f7dfeb02e255fb042a79a923c4d8f9c,2017-01-01,OpenAlex,published,open access,"""Australia""","""""",2023-06-20T22:35:29Z,7,5c4b747e88501e0a40886f9e9e3400dd,f7aa655e2dbde6ac15524894e6f2f376
rec6k2QK7UXhPLp5v,b07c97e01f4fc4fa7ac051913431a1af,"""journal article""",988cfa80f59b8a4129fce78553248a1e,2022-01-01,OpenAlex,published,open access,"""United Kingdom""","""""",2023-06-20T22:37:38Z,7,4f14ace3b4e001cf4f133142b81c618f,999a1f22c227c5885244eb93226e05e6
rec6vz4E1uYVEdG7O,45bba966ee9e120e64b08a4badb748b8,"""journal article""",d2cadb693ea21df02e57c5c2e3c865b7,2019-01-01,OpenAlex,published,open access,"""South Africa""","""""",2023-06-20T22:35:30Z,12,b92c376e29d7d4bc84843b72e83542ce,1281ee29588a22cbe23965566fbc2c26
rec77Kh3K4WEXtwq8,82947426f38e342f75d77989d34b5e30,"""review,journal article""",283dfe16b3667fd7ff82e2047ec585bf,2016-01-01,OpenAlex,published,NA,"""Australia""","""""",2024-05-03T21:28:24Z,1,4c6484115c7c72334cb872b673435912,a3d35513180984c5a750b51d98fd1360
rec7E1GX4Ux9Doe7X,21ccb693b6152f0e6afac5819e2874fc,"""journal article""",97e9f32d3788e5e315ce01cabe11ab15,2015-01-01,OpenAlex,published,open access,"""Malaysia""","""""",2023-06-20T22:35:32Z,12,0bfcd368c81e8e379a9436bc9504ee89,a2229ddf215bf186ebce40c0cfe28de0
rec7Uq1lyWXvEGXxh,d995c9be55c770a36130733b88214436,"""perspective,journal article""",b1757dce9ae237e4ac8321f9cb85aa98,2022-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2024-05-03T21:24:06Z,24,4b60d3fc2c01e68463df9d6049433baf,dc59939e2f176231ac8c1670c3091d27
rec7V0tx8XWAWgvtF,e61e60ecef7a6bef2be48c41e8e13eb3,"""journal article""",ddac885b840b1be49de17b4de0d17f79,2017-01-01,OpenAlex,published,NA,"""Australia""","""""",2023-06-20T22:35:59Z,7,dfd252e2c35218efa4915483ac22403e,28daba56f39720a7d1f2bb75a5af00ee
