id,authorship_id,institution_id,authorship_position,authorship_position_number,name,publication,contributor_id,publication_link,resource_type_from_publication,institution_country_code_from_institution_id,publication_date_from_research_outputs,within_analysis_timeframe_from_publication,cleaned_name,created_time
recrnTJJHe4837nof,2194,6919181a3343faa3954ca14175b7937b,first,1,c09fb0bf8794c52cbe7cb95bc6731a47,120ede9276d29e74f38452ec9c0bab44,1276,f8e9ece1c50a215f8691d8d82f1600ac,"""journal article""",BD,2023-01-01,0,c09fb0bf8794c52cbe7cb95bc6731a47,2023-06-22T18:07:24Z
recro0SaDqmSaxmYt,5598,4e3dd784429a0b323c9a103fc5715a49,middle,4,db0562210e3b22ece2444c239ff06b13,822526af932f23aa9dacb34cc93a44b6,2957,342d16c2a5563406b653d89ed2eab836,"""journal article""",CH,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recro7V2EZKxVrezM,415,ca062e75e7824749205c95798b2fa1ec,middle,7,8945ae06058fbf115d6d27bec0c7bbf7,7319faca54c8591627153246dc4aecd0,310,2c2ac79f31caf90ed8f31a24fbc1cdb9,"""journal article""",AU,2017-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recrorxnksFZC4H0i,7075,f6b1d52742382f9f489896def95f1c60,middle,10,7d72dcd075429213a9d03bf099cabb76,f69c7e2159ec3567179161baaad3cef2,3807,5a318dff3ee702744e7fc2ee3f35a727,"""journal article""",ZA,2020-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:33Z
recrqNgk66ecBlzT8,4200,1dbdc63ec5d3c0620af5406d0a6ec611,middle,8,0b875a49430a0e1ddedd8c766ffcabaa,1613ea176be47ce5134556aa12709f21,2368,381212fb8ecd29afd4c423dd242fb847,"""journal article,review""",US,2019-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recrqh2l8xVMzDkoi,2617,8c1a9cf51d18ec9e1c59e1f16a93fb3b,middle,7,d7603e56b31ed0e74412cae9db99c359,7c07a3068519aadae707dc1b8df99b3d,1481,c5ba7c24260b54fc950530016c58a37d,"""journal article""",CD,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recrqorvJEsG8A9NI,3911,7b17766cc54bf01070efa9dd40e1868f,middle,19,f525c6c91f0e86064bba4206f377c2b4,5e2795eefbea37a0cd3838134e764664,4054,484d1f20eac5a827d4fcfc0e4e0a8e73,"""journal article""",AU,2015-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recrqrKbx0lNjLdmT,4627,e09072cfa75e5c3a199652bcfc8fda7f,last,21,988ebc0a4cc068b352282c8adfd65075,4338ba2261af39bd6a76a4db41cd25af,2584,d4ae0b388530480f4376af1f63afad42,"""journal article""",US,2007-01-01,0,501e33fd19295a8b0bd913755b41112c,2023-06-22T18:07:29Z
recrr5qhGCXfkpExx,4851,b0afa38ec8db935e0f17710a775024ca,middle,8,02fac7fa280051069ca9d59a2908f30c,151d506542cd78ffd56343fbbe880451,2694,2c8da2f2593ad2dadeb86e30d4a6d168,"""preprint""",US,2020-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-07-17T18:42:53Z
recrrAxKpXWHko67z,3390,1f5752c960a56c228e608500f0a0dadc,middle,7,cabcb06d27c35a6a201926c946083a4f,9f20d1ec9ec8b69acefc5bc318f733aa,1894,bb3c77df9c292634dd399158523d2df9,"""journal article""",AE,2017-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recrsBNSa2lFcsUlu,678,e09072cfa75e5c3a199652bcfc8fda7f,middle,2,d01ed444567ef4609052367dc4e91c56,f0d3fb35571572e16009dbf6432c6306,4102,e496bbc70afda7e85016cfbbd4e19f49,"""journal article""",US,2016-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recrsXMmvYcdoyPaR,2621,45418ad57fa578e9068e39015f3dd051,middle,10,098db4c7bab3d4e76fe115a777a64d8b,f6685630b7e5e3c49470d44a942c4ed5,1485,1b56e5dd692c0d492f71ea4addea8ea4,"""journal article""",PE,2012-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recrsi99pooGFlSUw,9433,b028613c039c0467f67eaa602babd773,middle,11,cd030e5ae13a239fb9b1fc073ab4d28f,711d67e7c874474f8917afedaf74e1a5,1615,1009ce827cc02d42b087acc159eafa35,"""journal article""",CI,2023-01-01,0,396f1837bdc228159d12c551d5a704ed,2024-02-23T17:13:06Z
recrt6ofKODLQb8wu,8498,c0b0ddf02f5d53333e156c7c8abbde85,middle,9,3587e83103330baccd5993e5b3300cd6,94ced4b85248ac2848d78182ab25db43,2193,c1cf95517452a1bbf6330f91134f970f,"""journal article""",US,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-08-02T15:59:14Z
recrtH55nhEpPWcML,6001,1fe3d15985a860a532fd716f20d79603,middle,6,f836991ccccb5596daaf5887043d72b6,5ccb9cf5c21d1b4cf87ff79e00c99bd1,3215,07b5a07d58acce811d0fb367f4722203,"""journal article""",US,2005-01-01,0,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:33Z
recruBvFAPZrPlpVE,2907,a87e058c89e028269b1265e789f0979a,middle,7,bfa35835f67a2c55136692cf8ed2e6b0,dd96cd575939d97a235aa2c35f199587,1656,b7057d9b3ed8f47d1c8a245aa7abe254,"""journal article""",DE,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recruzCF758bFbItM,3301,0f856c1a70794de97d3bf55125cf2bc1,middle,18,3c321f142b24faca55734dbfd499ddb2,fdeed303300f25c91db3a412a5d15a7f,1832,a5cecc53b731a71b98eff5f05eecd3b2,"""journal article""",US,2017-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recrv6KAQ4jNlA9Gu,6677,d6fc8e4e6a6f01a2e127895ee69e919b,middle,15,6166c10777a0b8c319ebe24d6f3acbe3,1df965567a08ce3f0c074f86b86c9baa,3592,42bf329e46598137a292af1a086ada8b,"""journal article""",TH,2022-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:33Z
recrvnHdwgOUXQxrA,770,a1999f2a84702a12a706207066166b4a,middle,2,4c0121a9b0cf09a6243d133854cb2135,c3339e1a4d7847ed8591f9fd28d9cd45,458,a91deec788c6b88d3a3100c417892f84,"""journal article""",BD,2014-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recrwkSrbeByLvJ5O,3724,c5613d831ec414d99b03324bc509acfc,first,1,e19442c01f7bbd4062892e059d6c711c,206c1c07ce1f498373f220f39ccde0d5,2077,0f7fe0a164529e036ea2a6dd7e451565,"""journal article""",US,2011-01-01,1,e19442c01f7bbd4062892e059d6c711c,2023-06-22T18:07:29Z
recrxy6sAzQIF8UqQ,757,797daf1d262b7255268bdbd377eee41d,middle,9,6919f815ce8c8ea3d9448d8ece489d49,636baf93bd76764ebe27a820cfb886d2,"454, 455",9c1bf2be32af29db4c6d469d4722b596,"""journal article""",US,2023-01-01,0,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recryY3rkEymKI5s9,8265,174870bd017a5940ced3d17f4efe9541,middle,25,581efd00d454b48998c60bc80267abab,ce570f7b6f767eca8faa5ebf9c327976,941,d5571d16c32aa9fae45a42bde0f5e0d8,"""journal article""",BR,2013-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-08-02T15:59:14Z
recs02dU4aZ5qTXLA,2392,10388a36de834fac51d0216ad7322301,last,9,84b19a2485ad64036c7e70405f9574ad,4f8d0ef60df5b9ad9cae1495e950993f,"1390, 1391",39b87ab96ec6fdab39ad86a30bd677cb,"""preprint""",GB,2021-01-01,1,84b19a2485ad64036c7e70405f9574ad,2023-07-17T18:42:53Z
recs03wnkxYLZX4m2,8512,861d3b8bae56bd27d8df8ef28c5946a4,middle,7,a82ba5296b5a444ff93e40eebf8e1d09,ef9a423dcbda1bfb0eb64aeefda35f23,2320,143993cc40abc7f172a65e4b81f78d4b,"""journal article""",BD,2016-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-08-02T15:59:14Z
recs0zT3HzL19tCjr,70,65a861769926441669d2a1222b50c97a,middle,10,0dec3243b78811af73fef076136de82d,aeed9714f5ee01ac1f79c2eaf5fac575,4030,f909f287f7059272681789389894504f,"""journal article""",US,2019-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recs1Hx7Av51R3vdM,233,8d80763dc790a983b7c5aaf8022776af,middle,9,370a7ec110f50f8968139ec804c4d72d,4b0f4652740da008c1786d8d69c7b92a,211,a7d7b04c786725cc2a3a5c383f6271bb,"""journal article""",IT,2013-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recs2jBiwssX262pO,3499,7e562b53e3821ea626a95e0b64117e05,middle,4,f270bcbd26ac88b77e2b77341548bf2f,96f12226ec04bcb6d2744481a9f7f549,1946,c3f0a5181d19bcc8fb24ee69ce26b44b,"""journal article""",AU,2017-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recs2jFgopvBbw6UJ,7421,850c9ae97364e1a7e3a6a5504f9c1301,middle,61,c3f455980ce38d00a0a214c2221fbe73,c77dc2647a7bb132192d325896bf6adf,3958,56d112e552b7613d16710e3f0fb07479,"""journal article""",DE,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:33Z
recs34lFb7alXmU6e,3125,7f97a7f85f88e9e84c04ae9372121d26,middle,3,a5fd29b8bbda306045df1d92bee18e37,9eb8842d9d6eac3abfb45e85b5413d56,4114,bfe393ad30a62653a9c7560d661a5df5,"""journal article,review""",ZA,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
